# downloaded from https://web.williams.edu/Astronomy/research/PN/nebulae/search/index.php
# wavelength (angstrom), flux
3567.939453125,7.740693E-15
3570.8252696991,7.669113E-15
3573.71108627319,7.676771E-15
3576.59690284729,8.225658E-15
3579.48271942139,8.660957E-15
3582.36853599548,7.215402E-15
3585.25435256958,7.900568E-15
3588.14016914368,7.612030E-15
3591.02598571777,8.057631E-15
3593.91180229187,8.142252E-15
3596.79761886597,7.915601E-15
3599.68343544006,8.358292E-15
3602.56925201416,7.957293E-15
3605.45506858826,7.537234E-15
3608.34088516235,7.618197E-15
3611.22670173645,7.605741E-15
3614.11251831055,7.661879E-15
3616.99833488464,7.437993E-15
3619.88415145874,7.803666E-15
3622.76996803284,7.960971E-15
3625.65578460693,6.993233E-15
3628.54160118103,7.540798E-15
3631.42741775513,7.736711E-15
3634.31323432922,7.868163E-15
3637.19905090332,7.573354E-15
3640.08486747742,8.440905E-15
3642.97068405151,7.736412E-15
3645.85650062561,7.524020E-15
3648.74231719971,7.535367E-15
3651.6281337738,6.397685E-15
3654.5139503479,6.208647E-15
3657.399766922,6.204322E-15
3660.28558349609,5.910184E-15
3663.17140007019,5.372847E-15
3666.05721664429,5.627717E-15
3668.94303321838,5.583753E-15
3671.82884979248,6.092487E-15
3674.71466636658,4.872808E-15
3677.60048294067,5.321059E-15
3680.48629951477,5.624335E-15
3683.37211608887,5.479773E-15
3686.25793266296,5.705790E-15
3689.14374923706,5.119541E-15
3692.02956581116,5.435679E-15
3694.91538238525,5.838495E-15
3697.80119895935,6.320722E-15
3700.68701553345,6.318603E-15
3703.57283210754,5.454569E-15
3706.45864868164,6.137319E-15
3709.34446525574,5.929706E-15
3712.23028182983,6.258335E-15
3715.11609840393,7.049595E-15
3718.00191497803,7.742699E-15
3720.88773155212,1.017276E-14
3723.77354812622,1.152117E-14
3726.65936470032,1.163488E-14
3729.54518127442,1.092419E-14
3732.43099784851,9.194911E-15
3735.31681442261,7.631774E-15
3738.20263099671,6.221765E-15
3741.0884475708,5.017545E-15
3743.9742641449,5.493065E-15
3746.860080719,7.168720E-15
3749.74589729309,8.257282E-15
3752.63171386719,9.580298E-15
3755.51753044129,1.077196E-14
3758.40334701538,1.008076E-14
3761.28916358948,9.134018E-15
3764.17498016358,8.365012E-15
3767.06079673767,8.222367E-15
3769.94661331177,7.643896E-15
3772.83242988587,7.518286E-15
3775.71824645996,8.819672E-15
3778.60406303406,1.072436E-14
3781.48987960816,7.012105E-15
3784.37569618225,3.657689E-15
3787.26151275635,4.673251E-15
3790.14732933045,5.755787E-15
3793.03314590454,7.749664E-15
3795.91896247864,8.784591E-15
3798.80477905274,8.233733E-15
3801.69059562683,6.487376E-15
3804.57641220093,4.880255E-15
3807.46222877503,4.332921E-15
3810.34804534912,4.123290E-15
3813.23386192322,4.369108E-15
3816.11967849732,4.033392E-15
3819.00549507141,3.908143E-15
3821.89131164551,3.636466E-15
3824.77712821961,4.235308E-15
3827.6629447937,6.047365E-15
3830.5487613678,8.494539E-15
3833.4345779419,1.041552E-14
3836.32039451599,1.074015E-14
3839.20621109009,8.237943E-15
3842.09202766419,5.269032E-15
3844.97784423828,3.802309E-15
3847.86366081238,3.711411E-15
3850.74947738648,4.036918E-15
3853.63529396057,5.370836E-15
3856.52111053467,9.156490E-15
3859.40692710877,1.941194E-14
3862.29274368286,4.002536E-14
3865.17856025696,6.153326E-14
3868.06437683106,6.655003E-14
3870.95019340515,5.473606E-14
3873.83600997925,3.352166E-14
3876.72182655335,1.546610E-14
3879.60764312744,9.152391E-15
3882.49345970154,1.096440E-14
3885.37927627564,1.476486E-14
3888.26509284973,1.622381E-14
3891.15090942383,1.327134E-14
3894.03672599793,9.229465E-15
3896.92254257202,5.519768E-15
3899.80835914612,3.717336E-15
3902.69417572022,3.425818E-15
3905.57999229431,3.239738E-15
3908.46580886841,3.597876E-15
3911.35162544251,3.251906E-15
3914.2374420166,3.963441E-15
3917.1232585907,3.650431E-15
3920.0090751648,3.954059E-15
3922.89489173889,4.287778E-15
3925.78070831299,4.018117E-15
3928.66652488709,3.233132E-15
3931.55234146118,3.443347E-15
3934.43815803528,3.310594E-15
3937.32397460938,3.385034E-15
3940.20979118347,3.645325E-15
3943.09560775757,3.547322E-15
3945.98142433167,3.263848E-15
3948.86724090576,3.179037E-15
3951.75305747986,3.809088E-15
3954.63887405396,5.169830E-15
3957.52469062805,8.652851E-15
3960.41050720215,1.738561E-14
3963.29632377625,3.035163E-14
3966.18214035034,3.905705E-14
3969.06795692444,3.727640E-14
3971.95377349854,2.762518E-14
3974.83959007264,1.513910E-14
3977.72540664673,7.101667E-15
3980.61122322083,4.193453E-15
3983.49703979492,3.553486E-15
3986.38285636902,3.542547E-15
3989.26867294312,3.567790E-15
3992.15448951721,3.203619E-15
3995.04030609131,3.443564E-15
3997.92612266541,3.473294E-15
4000.8119392395,3.562477E-15
4003.6977558136,3.664546E-15
4006.5835723877,3.443902E-15
4009.4693889618,3.664841E-15
4012.35520553589,3.181396E-15
4015.24102210999,3.648749E-15
4018.12683868408,4.040711E-15
4021.01265525818,4.700096E-15
4023.89847183228,4.684362E-15
4026.78428840638,4.809411E-15
4029.67010498047,4.418016E-15
4032.55592155457,4.141189E-15
4035.44173812867,3.408108E-15
4038.32755470276,3.129888E-15
4041.21337127686,3.433760E-15
4044.09918785096,3.247508E-15
4046.98500442505,3.309675E-15
4049.87082099915,3.216004E-15
4052.75663757325,3.362716E-15
4055.64245414734,3.460701E-15
4058.52827072144,3.696517E-15
4061.41408729554,3.967442E-15
4064.29990386963,4.052856E-15
4067.18572044373,4.634620E-15
4070.07153701783,4.836093E-15
4072.95735359192,4.278338E-15
4075.84317016602,4.103886E-15
4078.72898674012,3.664557E-15
4081.61480331421,3.618162E-15
4084.50061988831,3.611711E-15
4087.3864364624,4.492138E-15
4090.2722530365,7.414881E-15
4093.1580696106,1.397189E-14
4096.0438861847,2.458205E-14
4098.92970275879,3.238526E-14
4101.81551933289,3.157601E-14
