time,x,y,stellar_vel,stellar_sigma,emline_ha,emline_hb,emline_oiii4960,emline_oiii5008,timedelta
15:21:49.036513,43,16,113.23134,0.69029766,0.45380837,0.11244999,0.06839885,0.19542527,1.718159
15:21:49.052598,43,16,113.23134,0.69029766,0.45380837,0.11244999,0.06839885,0.19542527,1.734244
15:21:49.061261,43,16,113.23134,0.69029766,0.45380837,0.11244999,0.06839885,0.19542527,1.742907
15:21:49.069248,42,17,106.90538,0.69029766,0.5391211,0.104692034,0.06991238,0.19974966,1.750894
15:21:49.077607,42,17,106.90538,0.69029766,0.5391211,0.104692034,0.06991238,0.19974966,1.759253
15:21:49.085378,41,18,106.90538,0.69029766,0.6246543,0.11513991,0.06579456,0.18798444,1.767024
15:21:49.094372,39,20,132.28156,0.69029766,0.97938484,0.19959167,0.14035013,0.40100038,1.776018
15:21:49.102642,39,21,120.13421,92.43807,1.23753,0.24863233,0.18222067,0.5206305,1.784288
15:21:49.111017,38,22,114.52174,92.43807,1.6121604,0.3702566,0.23387921,0.6682263,1.792663
15:21:49.119464,37,23,110.64996,105.40735,1.9975804,0.46782327,0.27819198,0.79483426,1.80111
15:21:49.127022,36,24,104.191025,75.29027,2.4806705,0.6311596,0.34484538,0.9852725,1.808668
15:21:49.135937,36,25,94.72621,75.29027,3.0202625,0.7525485,0.37390232,1.0682923,1.817583
15:21:49.144495,35,26,88.09748,57.40937,4.203676,1.020464,0.47621676,1.3606193,1.826141
15:21:49.151669,35,27,79.84882,55.901894,5.1624713,1.2731724,0.5317263,1.519218,1.833315
15:21:49.160865,35,29,73.78133,66.63791,11.532657,2.389425,0.8226405,2.3504014,1.842511
15:21:49.169297,34,30,73.36324,78.062164,15.189815,2.8605893,1.0000286,2.8572245,1.850943
15:21:49.177176,34,31,75.32048,91.18053,27.536133,4.544697,1.4041853,4.011958,1.858822
15:21:49.184983,34,33,62.13312,131.62393,68.99291,11.619657,3.1199112,8.914032,1.866629
15:21:49.194479,34,34,48.78137,136.46237,101.28588,16.245447,4.4126105,12.607458,1.876125
15:21:49.203467,34,35,41.877132,141.43832,135.52759,20.252983,5.5913053,15.975158,1.885113
15:21:49.224216,35,36,27.145542,158.49994,231.65317,32.535336,8.93782,25.536629,1.905862
15:21:49.236848,35,37,19.549086,143.97012,239.08516,31.04,8.554071,24.440205,1.918494
15:21:49.238262,36,38,13.467029,140.74716,269.24457,33.325405,9.513843,27.182407,1.919908
15:21:49.239787,36,39,6.230088,129.16475,212.28282,26.180222,7.3792033,21.083439,1.921433
15:21:49.249147,37,39,7.1613574,149.32219,231.48718,29.69393,8.674262,24.783604,1.930793
15:21:49.254257,37,40,0.6257401,135.3624,160.64456,19.84217,5.7784486,16.509853,1.935903
15:21:49.260743,38,40,7.2630777,153.25937,157.76286,21.031832,6.3160377,18.045822,1.942389
